,Timestamp,SourceIPOuter,DestinationIPOuter,SourceIPInner,DestinationIPInner,PacketSize,SeqNum,location,type,delay,IAT
106,1738425724.1895392,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,54,gnb,request,,0.02022266387939453
107,1738425724.1902351,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,54,gnb,response,,0.0202639102935791
108,1738425724.1895545,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,55,gnb,request,,1.52587890625e-05
109,1738425724.1902351,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,55,gnb,response,,0.0
110,1738425724.2094638,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,56,gnb,request,,0.019909381866455078
111,1738425724.2101333,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,56,gnb,response,,0.019898176193237305
112,1738425724.2292452,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,57,gnb,request,,0.01978135108947754
113,1738425724.2299259,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,57,gnb,response,,0.019792556762695312
114,1738425724.2292528,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,58,gnb,request,,7.62939453125e-06
115,1738425724.2299368,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,58,gnb,response,,1.0967254638671875e-05
116,1738425724.24934,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,59,gnb,request,,0.020087242126464844
117,1738425724.2500005,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,59,gnb,response,,0.02006363868713379
118,1738425724.2695088,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,60,gnb,request,,0.020168781280517578
119,1738425724.270095,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,60,gnb,response,,0.020094633102416992
120,1738425724.2695196,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,61,gnb,request,,1.0728836059570312e-05
121,1738425724.270095,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,61,gnb,response,,0.0
122,1738425724.2893665,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,62,gnb,request,,0.01984691619873047
123,1738425724.2900023,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,62,gnb,response,,0.019907236099243164
124,1738425724.3093417,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,63,gnb,request,,0.01997518539428711
125,1738425724.309925,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,63,gnb,response,,0.019922733306884766
126,1738425724.309348,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,64,gnb,request,,6.4373016357421875e-06
127,1738425724.309936,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,64,gnb,response,,1.0967254638671875e-05
128,1738425724.329517,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,65,gnb,request,,0.020168781280517578
129,1738425724.3300664,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,65,gnb,response,,0.020130395889282227
130,1738425724.3494763,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,66,gnb,request,,0.019959449768066406
131,1738425724.3500683,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,66,gnb,response,,0.020001888275146484
132,1738425724.3494887,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,67,gnb,request,,1.239776611328125e-05
133,1738425724.3500688,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,67,gnb,response,,4.76837158203125e-07
134,1738425724.3692875,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,68,gnb,request,,0.019798755645751953
135,1738425724.3699331,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,68,gnb,response,,0.019864320755004883
136,1738425724.389336,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,69,gnb,request,,0.02004861831665039
137,1738425724.390038,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,69,gnb,response,,0.02010488510131836
138,1738425724.3893416,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,70,gnb,request,,5.4836273193359375e-06
139,1738425724.390057,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,70,gnb,response,,1.9073486328125e-05
140,1738425724.4094415,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,71,gnb,request,,0.020099878311157227
141,1738425724.409963,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,71,gnb,response,,0.019905805587768555
142,1738425724.429988,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,72,gnb,request,,0.020546436309814453
143,1738425724.4306805,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,72,gnb,response,,0.020717620849609375
